"country","buddhistCountries_numBuddhists","buddhistCountries_percBuddhists"
"India",10140000,0.7
"China",254700000,18.3
"United States",4170000,1.2
"Indonesia",1800000,0.7
"Pakistan",20000,0.09
"Nigeria",20000,0.09
"Brazil",250000,0.1
"Bangladesh",1040000,0.6
"Russia",170000,0.1
"Ethiopia",9999,0.09
"Mexico",10000,0.09
"Japan",41380000,33.2
"Philippines",100000,0.09
"Egypt",9999,0.09
"DR Congo",9999,0.09
"Vietnam",15560000,16.2
"Iran",9999,0.09
"Turkey",40000,0.09
"Germany",230000,0.3
"Thailand",66120000,92.6
"Tanzania",9999,0.09
"United Kingdom",380000,0.6
"France",310000,0.5
"South Africa",90000,0.2
"Italy",150000,0.2
"Kenya",9999,0.09
"Myanmar",41440000,79.8
"Colombia",9999,0.09
"South Korea",10950000,21.9
"Uganda",9999,0.09
"Sudan",9999,0.09
"Spain",20000,0.09
"Iraq",9999,0.09
"Algeria",9999,0.09
"Argentina",20000,0.09
"Afghanistan",9999,0.09
"Poland",9999,0.09
"Canada",370000,1
"Morocco",9999,0.09
"Ukraine",20000,0.09
"Angola",9999,0.09
"Saudi Arabia",130000,0.4
"Uzbekistan",10000,0.09
"Yemen",9999,0.09
"Mozambique",9999,0.09
"Ghana",9999,0.09
"Peru",50000,0.2
"Malaysia",5220000,15.7
"Nepal",3540000,10
"Madagascar",9999,0.09
"Ivory Coast",10000,0.09
"Venezuela",9999,0.09
"Cameroon",9999,0.09
"Niger",9999,0.09
"Australia",720000,2.9
"North Korea",380000,1.5
"Syria",9999,0.09
"Mali",9999,0.09
"Taiwan",4930000,21.2
"Burkina Faso",9999,0.09
"Sri Lanka",15440000,68.6
"Malawi",9999,0.09
"Zambia",9999,0.09
"Kazakhstan",60000,0.3
"Chile",10000,0.09
"Romania",9999,0.09
"Chad",9999,0.09
"Somalia",9999,0.09
"Ecuador",9999,0.09
"Guatemala",9999,0.09
"Senegal",9999,0.09
"Netherlands",50000,0.3
"Cambodia",15690000,96.8
"Zimbabwe",9999,0.09
"Guinea",10000,0.09
"Rwanda",9999,0.09
"Benin",9999,0.09
"Burundi",9999,0.09
"Bolivia",9999,0.09
"Tunisia",9999,0.09
"Haiti",9999,0.09
"Belgium",40000,0.3
"Dominican Republic",9999,0.09
"Jordan",30000,0.4
"South Sudan",9999,0.09
"Cuba",9999,0.09
"Honduras",10000,0.1
"Sweden",60000,0.6
"Papua New Guinea",9999,0.09
"Czech Republic",20000,0.2
"Azerbaijan",9999,0.09
"Tajikistan",9999,0.09
"Greece",9999,0.09
"Portugal",20000,0.2
"Hungary",9999,0.09
"United Arab Emirates",210000,2.4
"Belarus",9999,0.09
"Israel",20000,0.3
"Togo",9999,0.09
"Sierra Leone",9999,0.09
"Austria",20000,0.3
"Switzerland",50000,0.6
"Laos",4630000,64
"Hong Kong",1000000,13.3
"Nicaragua",9999,0.09
"Serbia",9999,0.09
"Libya",20000,0.3
"Paraguay",9999,0.09
"Kyrgyzstan",9999,0.09
"Bulgaria",9999,0.09
"Turkmenistan",9999,0.09
"El Salvador",9999,0.09
"Republic of the Congo",9999,0.09
"Singapore",1890000,32.2
"Denmark",20000,0.4
"Central African Republic",9999,0.09
"Slovakia",9999,0.1
"Finland",9999,0.1
"Liberia",9999,0.09
"Norway",40000,0.8
"Palestine",9999,0.09
"New Zealand",90000,1.9
"Costa Rica",9999,0.09
"Lebanon",9999,0.2
"Ireland",10000,0.2
"Mauritania",9999,0.09
"Oman",20000,0.7
"Panama",9999,0.2
"Kuwait",180000,5.4
"Croatia",9999,0.09
"Eritrea",9999,0.09
"Georgia",9999,0.09
"Mongolia",1730000,54.4
"Uruguay",9999,0.09
"Moldova",9999,0.09
"Puerto Rico",10000,0.3
"Bosnia and Herzegovina",9999,0.09
"Gambia",9999,0.09
"Albania",9999,0.09
"Jamaica",9999,0.09
"Armenia",9999,0.09
"Qatar",90000,3.8
"Botswana",9999,0.09
"Lithuania",9999,0.09
"Namibia",9999,0.09
"Gabon",9999,0.09
"Lesotho",9999,0.09
"Guinea-Bissau",9999,0.09
"Slovenia",9999,0.09
"North Macedonia",9999,0.09
"Latvia",9999,0.09
"Equatorial Guinea",9999,0.09
"Trinidad and Tobago",9999,0.3
"Bahrain",50000,3.1
"Timor-Leste",9999,0.09
"Estonia",9999,0.09
"Mauritius",9999,0.4
"Cyprus",9999,0.4
"Djibouti",9999,0.09
"Reunion",9999,0.2
"Fiji",9999,0.09
"Comoros",9999,0.09
"Guyana",9999,0.09
"Bhutan",620000,74.7
"Solomon Islands",9999,0.3
"Macau",100000,17.3
"Luxembourg",9999,0.09
"Suriname",9999,0.7
"Montenegro",9999,0.09
"Cape Verde",9999,0.09
"Western Sahara",9999,0.09
"Malta",9999,0.09
"Maldives",9999,0.6
"Brunei",40000,8.6
"Belize",9999,0.5
"Bahamas",9999,0.09
"Guadeloupe",9999,0.09
"Iceland",9999,0.6
"Martinique",9999,0.09
"Mayotte",9999,0.09
"Vanuatu",9999,0.09
"French Guiana",9999,0.3
"French Polynesia",9999,0.09
"New Caledonia",9999,0.6
"Barbados",9999,0.09
"Sao Tome and Principe",9999,0.09
"Samoa",9999,0.09
"Curacao",9999,0.5
"Saint Lucia",9999,0.09
"Guam",9999,1.1
"Kiribati",9999,0.09
"Grenada",9999,0.09
"Micronesia",9999,0.4
"Tonga",9999,0.09
"Seychelles",9999,0.09
"Aruba",9999,0.1
"Saint Vincent and the Grenadines",9999,0.09
"United States Virgin Islands",9999,0.09
"Antigua and Barbuda",9999,0.09
"Isle of Man",9999,0.09
"Andorra",9999,0.09
"Dominica",9999,0.1
"Cayman Islands",9999,0.09
"Bermuda",9999,0.5
"Greenland",9999,0.09
"Northern Mariana Islands",9999,10.6
"Saint Kitts and Nevis",9999,0.09
"Turks and Caicos Islands",9999,0.09
"Sint Maarten",9999,0.5
"American Samoa",9999,0.3
"Marshall Islands",9999,0.09
"Liechtenstein",9999,0.09
"Monaco",9999,0.09
"San Marino",9999,0.09
"Gibraltar",9999,0.09
"British Virgin Islands",9999,0.09
"Palau",9999,0.8
"Cook Islands",9999,0.09
"Anguilla",9999,0.09
"Nauru",9999,1.1
"Tuvalu",9999,0.09
"Wallis and Futuna",9999,0.09
"Saint Pierre and Miquelon",9999,0.09
"Montserrat",9999,0.09
"Falkland Islands",9999,0.2
"Niue",9999,0.09
"Tokelau",9999,0.09
"Vatican City",9999,0.09
