nationality,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,24516.0,14816.0,25507.0,33371,38429,38972,6793,2477,26894,38798
Bangladesh,21851.0,14831.0,23440.0,29060,26355,25849,4917,5044,25383,36483
Canada,11610.0,6495.0,12491.0,15105,17317,17102,3102,2438,9755,14690
China,123805.0,64675.0,104005.0,104664,153633,169543,19257,6198,9599,60878
France,24097.0,10885.0,20863.0,26140,31810,30646,4540,2829,16933,23168
Germany,18028.0,12216.0,23812.0,29918,36879,36641,5896,2929,17742,26980
India,135343.0,75124.0,118249.0,160832,194323,254150,40336,64672,209334,319936
Italy,10347.0,3972.0,9911.0,11840,15342,15676,1599,613,6388,12948
Japan,25829.0,14465.0,22979.0,27326,29817,30534,5599,784,5714,16463
South Korea,23205.0,18112.0,25171.0,34301,37218,31108,6944,1263,8240,23743
Malaysia,,,,18284,22833,21329,3460,331,9569,18807
Myanmar,,,25796.0,30852,41402,36274,20911,344,2427,12929
Netherlands,12320.0,4324.0,11453.0,13393,15352,15034,2563,1303,7515,10718
Spain,13110.0,4307.0,12255.0,15953,20214,19383,1625,1151,8349,12393
Sri Lanka,37546.0,43117.0,57521.0,45361,69640,56316,13328,463,4606,21851
Thailand,33422.0,32338.0,26722.0,39154,52429,41660,20778,576,9935,25678
U.S.A.,49830.0,53897.0,53645.0,79146,91895,93241,17767,22854,77083,100355
U.K.,36759.0,204469.0,46295.0,51058,63466,61144,11762,8680,45094,52865
Others,218639.0,171688.0,119245.0,174460,214718,202589,38908,26013,114309,185199
